Locales 	Average time =	Average rate =
1	2.1387	11.22
2	3.5975	13.34
4	4.6307	20.73
8	5.2686	36.44
16	6.0340	63.64
32	6.7836	113.21
64	7.2476	211.93
128	7.7548	396.14
256	8.2248	747.01
