Locales 	Average time =	Average rate =
1	1.5270	15.72
2	0.9595	50.03
4	0.9720	98.76
8	0.9770	196.53
16	0.9769	393.08
32	0.9875	777.72
64	0.9938	1545.52
128	0.9974	3080.09
240	1.0009	5707.02
