Locales 	Average time =	Average rate =
1	3.6873	6.51
2	6.9678	6.89
4	9.9821	9.62
8	7.4647	25.72
16	7.4717	51.39
32	7.8283	98.11
64	8.2374	186.47
128	8.6994	353.13
240	9.1456	624.56
